name,compiled
circuit_84_7,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[6];
x q[5];
x q[4];
x q[2];
h q[3];
cx q[3], q[1];
cx q[4], q[2];
s q[4];
h q[4];
s q[4];
s q[5];
h q[5];
s q[5];
cx q[4], q[5];
s q[4];
h q[4];
s q[4];
cx q[4], q[3];
cx q[3], q[5];
h q[4];
cx q[2], q[1];
cx q[5], q[0];
"
circuit_60_13,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[6];
z q[5];
x q[3];
x q[2];
z q[2];
x q[0];
cx q[1], q[0];
s q[2];
s q[2];
h q[2];
s q[2];
h q[4];
cx q[4], q[2];
swap q[1], q[2];
s q[2];
h q[2];
s q[2];
h q[4];
s q[4];
h q[4];
s q[4];
swap q[3], q[4];
s q[4];
h q[4];
s q[4];
h q[5];
swap q[4], q[5];
cx q[5], q[4];
s q[5];
h q[5];
s q[5];
h q[5];
h q[4];
swap q[3], q[4];
cx q[5], q[4];
cx q[4], q[3];
h q[5];
h q[4];
s q[3];
swap q[2], q[4];
cx q[5], q[4];
cx q[3], q[4];
cx q[4], q[2];
s q[3];
h q[3];
s q[3];
h q[4];
s q[2];
swap q[1], q[3];
cx q[3], q[4];
cx q[3], q[1];
s q[3];
s q[1];
swap q[0], q[3];
cx q[3], q[5];
cx q[3], q[4];
s q[3];
h q[3];
s q[3];
s q[4];
s q[3];
"
circuit_54_6,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[6];
x q[4];
x q[3];
x q[2];
x q[0];
s q[4];
h q[4];
s q[4];
cx q[4], q[2];
swap q[1], q[2];
s q[5];
h q[5];
s q[5];
h q[5];
cx q[5], q[4];
h q[5];
s q[4];
h q[4];
s q[4];
s q[4];
cx q[5], q[3];
cx q[4], q[3];
s q[5];
h q[5];
s q[5];
cx q[4], q[2];
cx q[2], q[3];
h q[4];
swap q[1], q[2];
cx q[5], q[0];
s q[5];
h q[5];
s q[5];
"
circuit_17_8,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[6];
z q[5];
z q[4];
swap q[0], q[2];
s q[1];
s q[3];
s q[1];
h q[1];
s q[1];
s q[4];
h q[4];
s q[4];
cx q[1], q[3];
cx q[4], q[1];
h q[2];
s q[3];
h q[3];
s q[3];
cx q[3], q[2];
h q[4];
s q[4];
h q[4];
s q[4];
swap q[3], q[4];
s q[4];
h q[4];
s q[4];
s q[5];
swap q[4], q[5];
cx q[5], q[4];
s q[5];
h q[5];
s q[5];
h q[5];
h q[4];
swap q[3], q[5];
cx q[3], q[5];
cx q[5], q[4];
h q[3];
s q[5];
swap q[2], q[5];
cx q[5], q[2];
h q[5];
s q[2];
swap q[0], q[2];
cx q[0], q[2];
h q[0];
"
circuit_41_11,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[6];
x q[3];
z q[3];
x q[2];
z q[2];
x q[0];
z q[0];
swap q[0], q[4];
s q[5];
s q[5];
h q[5];
s q[5];
cx q[3], q[5];
swap q[1], q[5];
h q[2];
s q[3];
h q[3];
s q[3];
cx q[3], q[2];
s q[4];
h q[4];
s q[4];
swap q[3], q[4];
s q[5];
h q[5];
s q[5];
h q[5];
cx q[4], q[5];
s q[4];
h q[4];
s q[4];
h q[5];
s q[4];
swap q[3], q[5];
cx q[4], q[5];
cx q[5], q[3];
h q[4];
s q[5];
h q[5];
s q[5];
h q[5];
cx q[2], q[5];
s q[2];
h q[2];
s q[2];
h q[5];
s q[2];
cx q[1], q[4];
cx q[1], q[2];
h q[4];
h q[2];
h q[1];
cx q[4], q[0];
cx q[2], q[0];
h q[4];
h q[2];
"
circuit_90_13,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[6];
x q[5];
z q[5];
x q[4];
z q[4];
x q[3];
z q[3];
z q[2];
z q[0];
s q[1];
h q[1];
s q[1];
swap q[0], q[1];
h q[4];
s q[3];
h q[3];
s q[3];
cx q[4], q[2];
cx q[3], q[4];
swap q[1], q[4];
swap q[2], q[4];
s q[5];
h q[5];
s q[5];
h q[5];
cx q[5], q[4];
s q[5];
h q[5];
s q[5];
h q[4];
swap q[3], q[5];
cx q[3], q[5];
cx q[5], q[4];
h q[5];
h q[4];
cx q[2], q[4];
cx q[3], q[2];
cx q[4], q[3];
s q[4];
h q[4];
s q[4];
s q[2];
h q[2];
s q[2];
s q[4];
h q[3];
swap q[1], q[5];
h q[5];
swap q[0], q[5];
cx q[4], q[5];
cx q[0], q[5];
cx q[5], q[2];
cx q[5], q[1];
s q[4];
h q[4];
s q[4];
h q[0];
s q[5];
h q[5];
s q[5];
"
circuit_32_5,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[6];
x q[5];
cx q[4], q[0];
s q[5];
h q[5];
s q[5];
cx q[5], q[2];
swap q[1], q[2];
h q[5];
cx q[5], q[3];
swap q[2], q[3];
h q[5];
cx q[5], q[3];
h q[5];
cx q[5], q[4];
h q[5];
swap q[2], q[3];
swap q[1], q[2];
"
circuit_99_12,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[6];
x q[5];
x q[4];
z q[3];
z q[2];
z q[1];
x q[0];
z q[0];
h q[2];
cx q[2], q[4];
swap q[0], q[4];
h q[2];
cx q[2], q[1];
swap q[2], q[3];
s q[5];
cx q[4], q[5];
s q[4];
h q[4];
s q[4];
swap q[3], q[5];
cx q[3], q[5];
cx q[5], q[4];
s q[4];
cx q[2], q[4];
cx q[3], q[2];
cx q[4], q[3];
s q[3];
h q[3];
s q[3];
s q[2];
h q[2];
s q[2];
h q[3];
h q[2];
cx q[1], q[4];
cx q[1], q[3];
h q[4];
s q[3];
swap q[0], q[1];
cx q[4], q[1];
cx q[2], q[1];
h q[4];
s q[2];
h q[2];
s q[2];
s q[1];
h q[1];
s q[1];
"
circuit_94_13,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[6];
z q[5];
x q[3];
z q[3];
x q[0];
h q[1];
cx q[1], q[3];
swap q[1], q[3];
h q[4];
s q[4];
h q[4];
s q[4];
swap q[2], q[4];
s q[3];
h q[3];
s q[3];
s q[5];
h q[5];
s q[5];
h q[5];
swap q[4], q[5];
cx q[5], q[4];
s q[5];
h q[5];
s q[5];
s q[4];
swap q[3], q[4];
cx q[3], q[4];
cx q[4], q[5];
s q[3];
h q[3];
s q[3];
h q[5];
s q[4];
swap q[2], q[3];
cx q[5], q[3];
cx q[4], q[3];
cx q[3], q[2];
s q[5];
h q[5];
s q[5];
s q[3];
h q[3];
s q[3];
h q[3];
h q[2];
swap q[1], q[5];
cx q[3], q[5];
cx q[5], q[2];
cx q[5], q[1];
s q[3];
h q[3];
s q[3];
h q[5];
h q[1];
swap q[0], q[3];
cx q[3], q[2];
cx q[3], q[0];
cx q[3], q[5];
cx q[4], q[3];
cx q[5], q[4];
s q[3];
h q[3];
s q[3];
h q[4];
h q[0];
"
circuit_72_5,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[6];
x q[4];
x q[3];
z q[3];
x q[0];
swap q[0], q[1];
h q[5];
cx q[5], q[2];
swap q[1], q[2];
s q[2];
cx q[3], q[2];
s q[3];
s q[3];
h q[3];
s q[3];
cx q[5], q[3];
s q[5];
h q[5];
s q[5];
h q[5];
cx q[5], q[4];
s q[5];
h q[5];
s q[5];
s q[3];
cx q[2], q[5];
s q[5];
h q[2];
swap q[1], q[2];
swap q[0], q[1];
"
